job_title,job_description
Administrative Officer,"This position is located with the Bureau of Indian Affairs, Superintendent, Northern Idaho Agency, Office of the Superintendent in Lapwai, Idaho. NOTE:
TRAVEL AND RELOCATION EXPENSES WILL NOT BE AUTHORIZED. ANY RELOCATION EXPENSES ASSOCIATED WITH REPORTING FOR DUTY WILL BE THE RESPONSIBILITY OF THE SELECTED EMPLOYEE."
Medical Technologist,"Why work for the Federal Bureau of Prisons?
You can have a meaningful career with an agency that truly values a diverse workforce. You will find a diverse workforce employed from entry level jobs to senior management positions. We protect public safety by ensuring federal offenders serve their sentences of imprisonment in facilities that are safe, humane, and provide reentry programming. Employees at correctional facilities perform correctional work regardless of their specific occupation."
"Partnership Specialist (Language), GG-0301-07/09/11/12- Census-INT-JAB","This is a Work at Home (WAH) position.The Duty Station will be the selectee's home address
In order to be considered, applicants MUST RESIDE in one of the following counties in New Jersey:
Passaic County
Bergen County
Hudson County
This is a bilingual position. To be considered proficient you must be able to speak, read, and write in English andBengali
A trial period may be required
Relocation willNOT be paid
Applicants that apply by the first cut off date will be considered first"
Aircraft Mechanic,"About the Position: This position is with the Army Reserve Aviation Command (ARAC), Aviation Support Facility (ASF) Carswell, located in Fort Worth, Texas."
"Partnership Specialist (Language), GG-0301-07/09/11/12- Census- EXT-JAB","This is a Work at Home (WAH) position.The Duty Station will be the selectee's home address
In order to be considered, applicants MUST RESIDE in one of the following counties in New Jersey
Hudson County
Bergen County
Passaic County
This is a bilingual position. To be considered proficient you must be able to speak, read, and write in English andBengali
A trial period may be required
Relocationwill NOT bepaid
Applicants that apply by the first cut off date will be considered first"
Loan Servicing Assistant,"This is a bargaining unit position.
This is not a (drug) testing designated position (TDP). This position is located in the Small Business Administration, Santa Ana National Disaster Loan Resolution Center, in Santa Ana, CA. This Loan Servicing Assistant performs a variety of procedural and support duties in the servicing of disaster loans including financial statement analysis, communication with lenders and borrowers, delinquent loan resolution, etc."
Loan Servicing Assistant,"This is a bargaining unit position.
This is not a (drug) testing designated position (TDP). This position is located in the Small Business Administration, Santa Ana National Disaster Loan Resolution Center, in Santa Ana, CA. This Loan Servicing Assistant performs a variety of procedural and support duties in the servicing of disaster loans including financial statement analysis, communication with lenders and borrowers, delinquent loan resolution, etc."
COMPUTER ASSISTANT,"You will serve as a COMPUTER ASSISTANT in the Software and Mission Systems Integration Department, Warfare Systems Integration Laboratory Engineering Division, and WSILE Br1 of NAVAIRWARCENWPNDIV CHINA LAKE."
IT SPECIALIST (NETWORK/CUSTSPT),"About the Position:
The pay band NH-03 incudes the General Schedule Grade equivalent to GS-12/13. Other initiative under the Acquisition Demonstration Project include simplified classification, streamlined hiring process and expanded developmental opportunities."
Aircraft Mechanic,"About the Position: This position is with the Army Reserve Aviation Command (ARAC), Aviation Support Facility (ASF) Carswell, located in Fort Worth, Texas."
Cataloging Policy Specialist,"This position is located in Library Services. The Cataloging Policy Specialist functions at an expert level in applying knowledge of the principles and rules for cataloging and for the development of RDA: Resource Description and Access and/or the Library of Congress subject headings and classification systems.
This is a non-supervisory, bargaining unit position.
Relocation expenses will not be authorized for the person(s) selected under this vacancy announcement."
Deputy Assistant Secretary of the Army (Civilian Personnel),"The salary for Tier 2 positions in Army is normally between $168,165 and $185,000. Pay is set based on consideration of selectee's current salary and other factors."
Supervisory Veterinary Medical Officer / Public Health Veterinarian (SVMO/SPHV),"For specific position information (duties/shift/overtime/travel) please see: June Vacancy List This Announcement is an open continuous announcement that is used to collect applications from applicants and fill vacant positions as they become available. When a request is received to fill a vacant Veterinary Medical Officer (VMO) in a specific geographic location, a list of the best qualified applicants interested in that location, will be sent to the hiring manager for further consideration."
Medical Instrument Technician,The Medical Service of the VA Palo Alto Health Care System (VAPAHCS) has an immediate opening for a Medical Instrument Echocardiography Technician to work at the Palo Alto Division. The Echocardiography Technician (Medical Instrument Technician) use high frequency sound waves and other diagnostic techniques for medical imaging purposes.
